"Nudge",Richard Thaler & Cass Sunstein,Behavioral Economics,Application of behavioral psychology to public policy.
"Flow: The Psychology of Optimal Experience",Mihaly Csikszentmihalyi,Positive Psychology,Study of the 'flow' state and happiness.
"The Righteous Mind",Jonathan Haidt,Moral Psychology,Explores the intuitive and social foundations of morality.
"The Blank Slate",Steven Pinker,Evolutionary Psych,Arguments against the tabula rasa theory of human nature.
"How the Mind Works",Steven Pinker,Cognitive Science,Computational theory of mind applied to various faculties.
"Looking for Spinoza",Antonio Damasio,Neuroscience,Neurobiology of emotion and feelings.
"Synaptic Self",Joseph LeDoux,Neuroscience,How synapses encode memory and personality.
"The Emotional Brain",Joseph LeDoux,Neuroscience,Focuses on the amygdala and fear circuitry.
"Explaining the Brain",Carl Craver,Philosophy of Neuroscience,Mechanistic explanation in neuroscience.
"Mental Models",Philip Johnson-Laird,Cognitive Psychology,Theory on how humans reason using internal representations.
"Unified Theories of Cognition",Allen Newell,Cognitive Science/AI,Proposes the SOAR architecture for general intelligence.
"ACT-R: An Integrated Theory of the Mind",John R. Anderson,Cognitive Science,Details the ACT-R cognitive architecture.
"The Adapated Mind",Barkow, Cosmides, & Tooby,Evolutionary Psych,Foundational collection of essays on evolutionary psychology.
"Guns, Germs, and Steel",Jared Diamond,Anthropology/Psych,Environmental determinism and human societal development.
"Civilization and Its Discontents",Sigmund Freud,Psychoanalysis,Freud's view on the tension between individual drives and society.
"Archetypes and the Collective Unconscious",Carl Jung,Psychoanalysis,Jungian theory of universal symbols and the psyche.
"The Divided Self",R.D. Laing,Clinical/Psychiatry,Existential study of schizophrenia and madness.
"Motivation and Personality",Abraham Maslow,Humanistic Psych,Introduced the Hierarchy of Needs.
"The Red Book",Carl Jung,Psychoanalysis,Jung's personal exploration of his own unconscious.
"The Gift of Therapy",Irvin Yalom,Clinical Psych,Guide to existential psychotherapy.
"Quiet",Susan Cain,Personality Psych,Cultural and psychological analysis of introversion.
"Mindset",Carol Dweck,Educational Psych,Theory of fixed vs. growth mindsets.
"The Design of Everyday Things",Don Norman,Cognitive Engineering,Psychology applied to design and usability.
"Sources of Power",Gary Klein,Decision Making,Naturalistic decision making in high-stakes environments.
"Judgment Under Uncertainty: Heuristics and Biases",Kahneman, Slovic, & Tversky,Behavioral Economics,Academic collection defining heuristics and biases.
"The Black Swan",Nassim Nicholas Taleb,Cognitive/Stats,Impact of the highly improbable and our blindness to it.
"Superforecasting",Philip Tetlock,Decision Making,The science of prediction and judgment.
"Noise: A Flaw in Human Judgment",Kahneman, Sibony, & Sunstein,Decision Making,Variability in judgments that should be identical.
"Be Here Now",Ram Dass,Spirituality/Consciousness,Bridging Eastern philosophy and Western psychology.
"The Doors of Perception",Aldous Huxley,Consciousness,Psychedelics and the alteration of consciousness.
"Waking Up",Sam Harris,Neuro/Philosophy,Spirituality without religion through a neuroscience lens.
"How to Change Your Mind",Michael Pollan,Psychopharmacology,The new science of psychedelics.
"Why We Sleep",Matthew Walker,Neuroscience,The biology and psychology of sleep.
"The Master and His Emissary",Iain McGilchrist,Neuroscience,Hemispheric differences and their cultural impact.
"Thinking in Systems",Donella Meadows,Cognitive Systems,Introduction to systems thinking.
"Steps to an Ecology of Mind",Gregory Bateson,Cybernetics/Anthropology,Essays on anthropology, psychiatry, and cybernetics.
"Cybernetics",Norbert Wiener,Cybernetics,Control and communication in the animal and the machine.
"Perception",Julian Hochberg,Cognitive Psychology,Classic text on visual perception.
"Eye and Brain",Richard Gregory,Cognitive Psychology,The psychology of seeing.
"Ecological Approach to Visual Perception",James J. Gibson,Cognitive Psychology,Direct perception and affordances.
"Plans and the Structure of Behavior",Miller, Galanter, & Pribram,Cognitive Science,TOTE units and the shift from behaviorism to cognitivism.
"Working Memory",Baddeley & Hitch,Cognitive Psychology,The seminal model of working memory.
"The Mind's New Science",Howard Gardner,History of Science,History of the cognitive revolution.
"Affective Neuroscience",Jaak Panksepp,Neuroscience,The foundations of human and animal emotions.
"I of the Vortex",Rodolfo Llinas,Neuroscience,From neurons to self; movement as the basis of mind.
"Spikes",Rieke et al.,Computational Neuroscience,Exploring the neural code.
"Theoretical Neuroscience",Dayan & Abbott,Computational Neuroscience,Mathematical modeling of neural systems.
"Catching Fire: How Cooking Made Us Human",Richard Wrangham,Evolutionary Psych,Role of diet in brain evolution.
"Grooming, Gossip, and the Evolution of Language",Robin Dunbar,Evolutionary Psych,Dunbar's number and social brain hypothesis.
"Mothers and Others",Sarah Blaffer Hrdy,Evolutionary Psych,Alloparenting and the evolution of mutual understanding.
"Visual Intelligence",Donald Hoffman,Cognitive Science,How we construct reality through vision.
"Reality Is Not What It Seems",Carlo Rovelli,Physics/CogSci,Intersection of quantum physics and perception (peripheral).
"The Chalmers/Dennett Debate (Various Papers)",Chalmers/Dennett,Philosophy of Mind,The Hard Problem vs. Consciousness as Illusion.
"Neurophilosophy",Patricia Churchland,Philosophy of Mind,Toward a unified science of the mind-brain.
"Supersizing the Mind",Andy Clark,Cognitive Science,Extended cognition and the embodied mind.
"Radical Embodied Cognitive Science",Anthony Chemero,Cognitive Science,Anti-representationalist view of cognition.
"Action in Perception",Alva Noë,Philosophy/CogSci,Enactivism; perception is something we do.
"Being There",Andy Clark,Cognitive Science,Putting brain, body, and world together again.
"Surfing Uncertainty",Andy Clark,Neuroscience,Predictive processing and the bayesian brain.
"Predictive Minds (Various)",Karl Friston,Neuroscience,Free Energy Principle (specialist papers/collections).
"Incognito",David Eagleman,Neuroscience,The secret lives of the brain.
"Suggestible You",Erik Vance,Psychology,Placebos, hypnosis, and belief.
"The Psychopath Whisperer",Kent Kiehl,Clinical Neuroscience,Science of those without conscience.
"The Boy Who Was Raised as a Dog",Bruce Perry,Clinical/Trauma,Child trauma and brain development.
"The Body Keeps the Score",Bessel van der Kolk,Clinical/Trauma,How trauma reshapes the body and brain.
"Trauma and Recovery",Judith Herman,Clinical Psych,Psychology of domestic abuse and political terror.
"Against Empathy",Paul Bloom,Moral Psychology,The case for rational compassion over empathy.
"Just Babies",Paul Bloom,Developmental Psych,The origins of good and evil.
"The Scientist in the Crib",Gopnik, Meltzoff, & Kuhl,Developmental Psych,Early learning and the brain.
"Passions Within Reason",Robert Frank,Evolutionary Econ,The strategic role of the emotions.
"The Moral Animal",Robert Wright,Evolutionary Psych,Evolutionary psychology of everyday life.
"Seven and a Half Lessons About the Brain",Lisa Feldman Barrett,Neuroscience,Accessible overview of modern brain science.
"How Emotions Are Made",Lisa Feldman Barrett,Neuroscience,Theory of constructed emotion.
"Algorithms to Live By",Christian & Griffiths,Cognitive Science,Computer science of human decisions.
"Deep Thinking",Garry Kasparov,AI/Psychology,Machine intelligence vs. human creativity.
"User Friendly",Cliff Kuang,Cognitive Design,History of the interface and user psychology.
"Simulacra and Simulation",Jean Baudrillard,Philosophy/Psych,The nature of reality and symbols (post-modern).
"Madness and Civilization",Michel Foucault,History of Psych,How insanity has been constructed historically.
"A History of Experimental Psychology",Edwin Boring,History,The classic historical reference text.
